tic_id,GAIA_Source,VSX_OID,VSX_Period,VSX_Type,GAIA_epsi,GAIA_sepsi,GAIA_RUWE,GAIA_RV,GAIA_e_RV,VSX_angDist,VSX_Match_Score,GAIA_angDist,GAIA_Match_Score,GAIA_RAJ2000,GAIA_DEJ2000,TIC_Tmag,GAIA_Gmag,num_sectors,best_subject_id,NSSmodel,NSS_Per,NSS_Vcm,NSS_Flags,Period_Ratio_EB_SB,Period_Delta_EB_SB,Has_SB
36883123,5173394868034819968,14160,0.33527,EW,1.572,2593.7,11.08,18.67,1.06,0.0628,1.0,0.410745,2.0,43.39502629181,-9.20801102803,9.13043,9.504111,3,30149148,SB1,1085.5418253961077,17.346373250394,0,0.00030885037513654715,1085.2065553961077,True
57297550,1352346392464295168,15668,0.38222952,EW,0.083,10.035,0.938,-32.86,5.15,0.044798,1.0,0.891593,4.0,251.72316691305,38.64951301616,10.4529,10.733952,2,46378386,SB1,292.8671492901887,-35.901713751103,8192,0.0013051293766692357,292.4849197701887,True
417497545,2171301960385231488,11457,4.75843337,EA/SD,0.305,115.06,2.154,-14.01,7.49,0.0515,1.0,0.040693,0.0,323.50499239054,49.93317877176,9.6361,10.301297,2,37872130,SB1,925.1900092016692,-13.300365272855,0,0.0051431958005101796,920.4315758316692,True
440051305,385590588900489216,555463,0.3296745,EW,2.082,6364.0,15.197,-24.34,0.86,0.042082,1.0,0.698538,3.0,3.47986506279,44.38468829196,9.6417,10.093721,1,38692422,SB1,63.30510082309364,-22.938942823269,0,0.005207708315974043,62.975426323093636,True
231922417,5566728797637156352,79204,0.687161,EA,0.193,46.076,1.595,21.69,11.08,0.057781,1.0,0.097818,4.0,92.90640370626,-45.91465279547,8.7325,9.242489,4,30973102,SB1,66.84792874591295,21.4491373678,0,0.010279465839725254,66.16076774591295,True
342645261,4525119960446646400,144349,7.14615,EA,0.182,55.37,1.204,,,0.14006,1.0,0.094896,4.0,276.82683676121,19.14258444985,10.9065,11.325575,1,48938244,SB2,361.59246989230337,-14.3783451223492,8388608,0.0197629945173593,354.4463198923034,True
266769521,5134682575449622656,9125,0.5361694,EB,0.127,11.432,1.0,,,8.604317,1.0,1.584065,4.0,29.75082464311,-22.91850596885,7.0421,7.438206,4,52579857,SB2,25.67668734861073,29.80509170749437,8388608,0.020881564382525777,25.140517948610732,True
273874851,2086448353089047808,162391,2.04516121,EA,0.207,60.247,1.289,7.28,25.59,0.38354,1.0,0.217166,4.0,298.37111150563,47.81391290551,11.6487,11.963002,2,37757104,SB1,69.56097473163884,-3.4264109707343,8192,0.02940098550789552,67.51581352163883,True
4713510,2930145543974217856,5271,0.624141545,EB/SD,0.162,50.968,1.427,103.79,1.57,114.541725,1.0,0.099154,4.0,109.48890240107,-19.65705769126,10.8919,11.45891,1,56971831,SB1,18.47782476926228,108.10918742412,0,0.033777869029164874,17.85368322426228,True
305633328,2192432168679252096,52116,2.5035,EA,0.071,7.6161,0.802,,,0.176849,1.0,0.088981,4.0,315.59947739504,60.078291004,10.8863,11.481098,2,37861972,SB2,61.837738276755736,-19.30073828225467,8388608,0.04048498651091584,59.334238276755734,True
52368472,4698677699085921536,410540,0.325824,ESD|EC,1.344,2620.4,9.701,,,0.112236,1.0,0.47928,4.0,24.00370115137,-66.72658780975,8.932,9.2974,2,50591933,SB2C,6.577053996550708,15.996517867815754,12615680,0.0495395050992247,6.251229996550708,True
346767664,5976730254068809984,104501,7.394663,ED,0.0,0.0,0.679,,,0.032709,1.0,0.756103,4.0,255.89933472731,-36.64630155497,9.7266,10.161201,1,65550774,SB2,121.15623976232044,-31.12807417207924,8388608,0.061034107814063564,113.76157676232044,True
68164464,6042458715578215296,701831,15.672611,E,0.577,553.97,5.664,36.04,4.72,0.043423,1.0,0.653317,2.0,242.93981001567,-27.56586278163,11.5741,12.30262,1,35171160,SB1,83.02848943497203,53.120388671414,0,0.1887618467667631,67.35587843497203,True
377192658,2153474753718586112,13758,1.81723857,EA/SD:,0.137,21.641,1.044,-19.2,6.58,10.60142,1.0,0.103946,4.0,285.91935539482,57.45878271102,9.1254,9.256658,2,48941611,SB1,8.450807278710045,-9.8609488177725,0,0.21503727514626136,6.633568708710045,True
20239565,1391620123173966720,242075,1.50525,EA,0.077,7.8058,0.941,,,0.135089,1.0,1.916068,4.0,227.79220676048,38.95089719536,8.27331,8.7003,2,44579380,SB2,6.0213151392326365,-39.91490828089612,8388608,0.24998691568098708,4.516065139232636,True
11546041,5039922432824160384,53700,0.406798,EW,0.17,48.484,1.611,3.75,6.07,0.086369,1.0,0.32686,4.0,19.00250863512,-25.7091667249,11.7142,11.957292,3,29676850,SB1,1.4475184870942677,-19.038353223888,0,0.28103129847868247,1.0407204870942677,True
449256892,3234273101609865344,23229,6.9368515,EA/D,0.078,10.651,0.987,,,0.086326,1.0,0.159407,4.0,80.03809651236,2.04444563574,9.35548,9.761078,1,56369044,SB2,23.63664757587051,-5.9307200567800455,8388608,0.29347865333836476,16.69979607587051,True
353894978,2150367911814795904,229543,3.34181534,EA,0.057,5.0782,0.894,,,0.716896,1.0,0.15305,4.0,271.68597170948,56.40705618584,10.3197,10.694456,13,44564077,SB2,10.275312742891236,-4.005221637234945,8388608,0.3252276036378519,6.933497402891236,True
154453805,1149193614730258688,4756,1.091739,EA,0.243,84.32,1.576,,,0.076796,1.0,0.40461,4.0,126.89291262192,83.88239121146,10.0724,10.478998,1,48949795,SB2,3.3543654615702185,-4.956531928230652,8388608,0.32546811386763563,2.2626264615702185,True
138819130,4017386995633359744,2213520,3.5926,EA,0.055,3.6165,0.9,-12.92,4.11,0.753722,1.0,0.177799,4.0,175.44609833143,25.65772043858,11.5076,11.900892,1,43283326,SB1,10.771565436897712,-15.663571305375,8192,0.33352626607954716,7.178965436897712,True
22513851,4603726589332932352,2213625,18.82429,EA,0.143,32.072,1.112,-17.86,2.38,0.022467,1.0,0.30703,4.0,271.79486944769,33.62515436094,11.1227,11.599636,1,48936710,SB1,50.17816351574825,-22.798105886032,0,0.3751490425529834,31.35387351574825,True
140141922,4858412446267121152,75724,8.715623,ED,0.095,14.995,1.057,,,0.018775,1.0,0.344465,4.0,58.44437287475,-36.08985551623,10.498,10.82978,1,54451157,SB2,20.92215328943613,23.48454562360508,8388608,0.4165739003738507,12.206530289436131,True
38383256,2427103065695770368,227089,0.29076828,EW,0.144,30.828,1.077,13.57,11.13,0.382592,1.0,0.186575,4.0,8.837209664,-8.37977413601,10.9744,11.403835,1,52576423,SB1,0.6293981036259285,-11.242358973258,0,0.4619783223446331,0.3386298236259285,True
8444713,1329183358958814208,245383,4.423851,E,0.107,18.189,1.151,-30.3,2.4,0.132331,1.0,0.33385,4.0,246.15778880647,34.95662738801,10.2816,10.609984,2,48223034,SB1,9.405972254942345,-26.179448084328,0,0.4703236284452677,4.982121254942345,True
276232142,495188361769736832,227827,2.50986732,EA,0.068,7.5538,0.965,,,0.237992,1.0,0.420773,4.0,56.26584380635,70.72575952001,10.1983,10.658927,2,48230723,SB2,5.236878736533264,-0.8268260759386524,8388608,0.4792677940947503,2.7270114165332635,True
461713146,5097257123786799744,13998,4.97927,EA/SD,0.081,8.8702,1.01,,,0.090762,1.0,0.422462,4.0,59.74218349231,-17.22958871187,9.3437,9.870949,7,30180340,SB2,9.537238961660671,59.51361859237706,8388608,0.5220871596084015,4.557968961660672,True
259260957,387290085984658176,241983,9.57487,EA,0.07,6.6326,0.894,-8.36,2.96,0.089615,1.0,0.089723,4.0,0.54168294126,47.80102403787,10.3894,10.821159,1,38693340,SB1,18.251148911477244,-13.338237674075,0,0.5246173841680092,8.676278911477244,True
316633520,4569662722672317440,106535,2.540039,ED,0.08,12.737,0.945,5.9,2.86,0.038103,1.0,0.140336,4.0,263.76273895952,24.56302610111,11.5439,11.862985,1,48941874,SB1,4.637713143157115,0.085764545341206,0,0.5476921322199054,2.097674143157115,True
305832152,414938061776891264,6695,1.543067,EA,0.117,21.143,1.033,,,0.081211,1.0,0.031241,4.0,13.17921609269,50.46947475768,10.2544,10.525944,1,38703271,SB2,2.5213657883732083,2.543046119561856,8388608,0.6119964850461427,0.9782987883732084,True
99725941,1097717538333601408,1546208,29.9494,EA,0.449,329.15,3.627,,,0.01187,1.0,0.383674,4.0,124.97179703291,70.20985750037,8.4699,8.942332,1,48943856,SB2,44.955850146952486,-40.6980384648018,8388608,0.6661958321798135,15.006450146952485,True
420962954,2968797672647113984,77600,0.66466,EC,0.082,9.6271,0.943,,,0.023765,1.0,0.318157,4.0,82.07733562126,-19.52130715257,9.26776,9.598231,5,30945727,SB2C,0.9970110290728054,26.662439137557325,12615680,0.6666526052556477,0.33235102907280534,True
371165722,886293989320887040,2213444,2.25024,EA,0.093,10.416,0.927,-54.15,6.58,12.778098,1.0,0.253319,4.0,109.34857011599,30.30665603928,11.2943,11.651333,1,40890236,SB1,3.060230454730928,-51.063843231162,8192,0.7353171708102137,0.809990454730928,True
180943676,4801076522651442560,629977,6.492239,EA,0.092,10.871,0.949,20.08,4.4,117.757968,1.0,0.460052,4.0,88.7265146694,-46.42540434829,10.461,10.872245,6,31819219,SB1,8.417508046976824,30.455749319885,0,0.7712780271510057,1.9252690469768243,True
382101519,4769417111825023616,77386,1.3445,ED,0.091,11.47,1.036,,,0.04082,1.0,0.2901,4.0,80.17133547698,-56.31834035719,10.4048,10.715521,12,60031698,SB2C,1.6573162039845026,17.41621416336633,12615680,0.8112513452578132,0.3128162039845026,True
290035575,2129409326108208512,11673,0.952377636,EA,0.082,8.9034,0.827,,,0.066219,1.0,0.181635,4.0,290.69623085952,48.20300941323,10.6575,10.946023,2,37755537,SB2,1.0549860492141547,-31.403082433363483,25165824,0.9027395544324152,0.1026084132141547,True
91037997,6676026246403067776,119508,0.537095,EB|EW,0.099,12.609,0.977,5.7,18.01,0.058921,1.0,0.102181,4.0,309.15637649917,-44.84137357345,11.7852,11.947569,1,50177054,SB1,0.4084096030512163,-3.7173110378764,0,1.3150890576210226,0.12868539694878367,True
26801525,1944868020357285504,6568,3.8966475,EA+DSCTC:,0.144,41.325,1.186,,,0.022563,1.0,0.155098,4.0,355.50573928177,51.74356061294,10.6853,11.041678,2,46388593,SB2,2.879063398753164,-35.97455051444498,8388608,1.3534427556154272,1.0175841012468356,True
30034081,4654713348717568000,40394,2.3446345,EA,0.091,7.8599,0.744,,,0.014922,1.0,0.176296,4.0,73.02885910101,-70.73124359212,10.5909,11.02942,34,65556246,SB2,1.6554979070692335,45.60842105212138,8388608,1.4162714975283546,0.6891365929307667,True
332334202,1512075848243535488,1499923,8.67144,EA,0.842,990.46,5.053,,,0.188769,1.0,0.285488,1.0,212.54161994457,52.54351644744,10.5768,11.08813,3,44665713,SB2,6.095703754513136,21.31238698905687,8388608,1.4225494461701558,2.5757362454868646,True
181798899,6705460486216615808,62999,19.2449,EA,0.204,55.1,1.079,,,0.027881,1.0,0.139359,4.0,281.09887815204,-46.9575066271,8.6194,8.603861,1,36038966,SB2,12.454916246985697,-19.62480722042168,8388608,1.5451649467861814,6.789983753014305,True
305386053,1960281592830251136,11584,1.242052,EA/KE:,0.23,73.237,2.0,1.78,5.25,0.518294,1.0,0.187851,4.0,327.14060497746,40.976761082,11.9946,12.480338,2,37778292,SB1,0.7986762643174483,10.981642415534,0,1.5551382399744433,0.4433757356825516,True
177283493,5262341059459783168,840140,0.752815,EB,0.078,8.6251,0.957,-11.76,18.54,0.006612,1.0,0.218918,4.0,102.46845211565,-73.40078159217,11.8481,12.089396,11,60859609,SB1,0.4622872087529661,-14.905499800935,0,1.6284573437165644,0.29052779124703393,True
230953115,6643141163584340352,414518,1.650059,EA,0.262,53.908,1.174,,,0.145479,1.0,0.241073,4.0,287.28917957014,-55.82233924253,8.1052,8.106949,1,50181006,SB2,0.9801100048521518,28.01125542817607,25165824,1.6835446958312694,0.6699489951478481,True
15795549,2064189358664519424,11376,0.89119559,EA,0.097,14.742,0.965,,,0.033047,1.0,0.039151,2.0,307.21186202203,39.15381800877,10.563,10.754866,2,37753212,SB2,0.5226411133506164,-2.698417821889556,25165824,1.705176969883992,0.3685544766493837,True
410354930,4615487996494226304,18643,2.59959,EA/D,0.13,27.062,0.946,-28.09,10.29,0.052397,1.0,0.01592,2.0,55.9600582661,-84.00079606827,11.1986,11.395132,4,28444125,SB1,1.5156643976059172,-10.982341069477,0,1.715148817974618,1.0839256023940829,True
408256515,4893278166142718208,76455,0.455531,EW,0.063,7.2988,0.987,51.67,10.32,0.070578,1.0,0.084177,4.0,70.60531024052,-26.29221059793,11.9455,12.247312,4,30909671,SB1,0.254691258274207,57.089746079352,16777216,1.7885615827048287,0.200839741725793,True
71546916,5448307821914759296,172649,9.8604,EA,1.597,3434.2,8.135,-12.5,0.6,0.121694,1.0,0.15146,1.0,155.70159305102,-33.61617823924,8.8701,9.277504,4,33247651,SB1,5.347835947397004,-12.457303255572,0,1.8438112344862472,4.512564052602996,True
160533733,1704353871864731904,683864,24.863,EA/RS,0.112,19.403,0.943,,,0.011726,1.0,0.225405,4.0,241.17266545382,76.44716627708,10.5802,11.155114,2,48936740,SB2,10.364113271259944,-32.4479658546315,8388608,2.3989510100151055,14.498886728740056,True
129409890,1928855351478724736,16953,7.351522,EA/DM,0.13,13.421,0.874,,,0.040332,1.0,0.257157,4.0,343.06170848458,38.74573176897,8.1599,8.308349,1,37863465,SB2C,2.4434278930915685,-8.286793922027213,12615680,3.0086920186125985,4.908094106908432,True
272650576,1695777986109779840,400339,16.257,EA,0.149,23.564,1.076,,,0.006229,1.0,0.225033,4.0,233.23950017302,70.70439068584,8.87787,9.078094,8,48929584,SB2,4.649852659217764,-2.1276133766410825,8388608,3.496239814776171,11.607147340782237,True
117175528,445958725070708864,25754,2.25422,E/DM,0.217,88.494,1.952,,,0.021451,1.0,0.083854,4.0,47.92629648203,52.21174511211,10.4615,10.956059,1,39488956,SB2,0.5729184539368847,-33.14212363114458,25165824,3.9346262709986566,1.6813015460631155,True
191965113,952062548646693760,2213427,16.98106,EA,0.099,12.677,0.935,-23.84,5.74,0.153316,1.0,0.135256,4.0,103.32461358737,42.9705209964,11.3993,11.655594,1,40874825,SB1,3.949499372607309,-16.352185299904,0,4.2995474610721995,13.03156062739269,True
48507019,2131979370116194432,242613,10.790492,EA+GDOR,0.188,53.48,1.504,,,0.030824,1.0,0.126607,4.0,285.21620295507,49.08946077178,9.8116,10.084532,3,48943361,SB2,2.489608248233639,4.240148450298204,8388608,4.334212825514128,8.300883751766362,True
144695651,3334518570308918656,77999,5.297694,ED,0.136,32.311,1.024,,,0.077208,1.0,0.10212,4.0,84.94398372762,8.18409398166,10.5706,10.997462,4,31816624,SB2,1.1482140741985922,37.272135944318336,25165824,4.613855655529723,4.1494799258014075,True
288434781,1551592777184626688,44927,6.33463,EA,0.106,17.004,1.117,,,0.007418,1.0,0.500182,4.0,203.02196067737,46.00205775818,10.3297,10.701682,3,44564094,SB2,1.3508242535617243,-23.44330884495205,8388608,4.689455333140083,4.983805746438275,True
260128333,5494443978353833088,1547415,95.174,EP,0.08,10.229,0.92,23.56,5.34,0.012194,1.0,0.584477,4.0,92.13319800184,-59.54113380642,11.4881,11.872519,28,54451554,SB1,14.629796804961645,31.024192300448,0,6.505490217589493,80.54420319503836,True
121016578,2100921052852233600,242373,14.086711,EA,0.211,66.301,1.917,-24.37,9.46,0.032216,1.0,0.012403,2.0,286.91357740535,41.48150813877,11.9104,12.189674,1,36972084,SB1,1.8480200463354763,-21.231800878242,0,7.622596425798077,12.238690953664523,True
167304040,5280249737354083200,80199,5.8191,EA,0.123,19.516,1.123,,,0.048032,1.0,0.076337,4.0,98.00750450503,-67.84394462461,10.2655,10.607174,9,36029435,SB2,0.7562006239191843,43.970692517416026,25165824,7.695180109533857,5.062899376080815,True
455824124,2220464183270904576,144390,12.922,EA,0.104,11.903,1.051,,,0.032555,1.0,0.171878,4.0,322.46725986646,64.92127350115,9.6935,9.925579,4,46388548,SB2,1.64697107518979,-19.17891148377273,8388608,7.845917997382513,11.275028924810211,True
159719243,2126044240713250304,242707,24.238432,EA,0.083,9.0887,0.924,,,0.069009,1.0,0.243884,4.0,291.3198433478,43.5954761088,10.3788,10.71973,1,37758820,SB2,2.4340073228709884,-16.38839253136151,25165824,9.958241198473472,21.80442467712901,True
283640314,2009263805058016256,6727,5.50545,EA/DM,0.123,18.116,0.958,,,0.02278,1.0,0.057625,4.0,348.39990756305,56.73811139388,9.4127,9.538116,2,46418541,SB2,0.5518627432512808,-8.754072449301882,8388608,9.976121902277415,4.953587256748719,True
280526693,3136790748588704256,84345,8.599005,EA,0.152,36.586,1.266,,,0.065593,1.0,0.380046,4.0,115.34665198998,2.88919541914,10.6576,11.058139,1,58289932,SB2,0.6870729909719171,10.443046540838331,25165824,12.515417012442962,7.911932009028083,True
395182898,5791422829235606912,19948,11.75056,EA,0.109,13.272,1.039,,,0.03559,1.0,0.982197,4.0,205.04803842964,-74.07916026042,8.2722,8.645712,2,64595711,SB2,0.5018534557437592,-4.406041527711934,25174016,23.41432516905833,11.24870654425624,True
233738458,2256762326276437888,1543009,14.3647,EA,0.15,23.832,0.98,,,0.030476,1.0,1.1358,4.0,277.81206830912,65.43602383261,6.30888,6.546157,10,48221929,SB2,0.5049581128083792,-11.782551666416175,25174016,28.447310055301745,13.85974188719162,True
299903137,2924024012978030848,80067,26.3808,EA,0.116,23.346,0.858,,,0.098298,1.0,0.072256,4.0,97.35985502371,-25.22484554564,10.8637,11.230324,3,31813011,SB2,0.9062408206793248,6.277544951855019,25165824,29.110143129753038,25.474559179320675,True
